original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed,token_to_text,no_topic,label_aspek,sentimen,,,,Jumlah,Positif,Negatif,
"Webinar tidak ada kendala apapun sehingga tidak ada kritik yang bisa saya sampaikan		",Webinar tidak ada kendala apapun sehingga tidak ada kritik yang bisa saya sampaikan,webinar tidak ada kendala apapun sehingga tidak ada kritik yang bisa saya sampaikan,"['webinar', 'tidak', 'ada', 'kendala', 'apapun', 'sehingga', 'tidak', 'ada', 'kritik', 'yang', 'bisa', 'saya', 'sampaikan']","['seminar', 'tidak', 'ada', 'kendala', 'apapun', 'sehingga', 'tidak', 'ada', 'kritik', 'yang', 'bisa', 'saya', 'sampai']","['seminar', 'kendala', 'apapun', 'kritik']",seminar kendala apapun kritik,1,Kesuksesan Acara,Positif,,,,,,,
"Tingkat lebih baik lagi		",Tingkat lebih baik lagi,tingkat lebih baik lagi,"['tingkat', 'lebih', 'baik', 'lagi']","['tingkat', 'lebih', 'baik', 'lagi']","['tingkat', 'baik']",tingkat baik,1,Kesuksesan Acara,Positif,,,,,,,
"kegiatan nya sudah berjalan dengan sangat baik		",kegiatan nya sudah berjalan dengan sangat baik,kegiatan nya sudah berjalan dengan sangat baik,"['kegiatan', 'nya', 'sudah', 'berjalan', 'dengan', 'sangat', 'baik']","['acara', 'nya', 'sudah', 'terlaksana', 'dengan', 'sangat', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Acara nya keren banget, saran bisa membahas suatu hal yang berhubungan dengan ilmu komputer		",Acara nya keren banget saran bisa membahas suatu hal yang berhubungan dengan ilmu komputer,acara nya keren banget saran bisa membahas suatu hal yang berhubungan dengan ilmu komputer,"['acara', 'nya', 'keren', 'banget', 'saran', 'bisa', 'membahas', 'suatu', 'hal', 'yang', 'berhubungan', 'dengan', 'ilmu', 'komputer']","['acara', 'nya', 'keren', 'sekali', 'usulan', 'bisa', 'membahas', 'suatu', 'hal', 'yang', 'relevan', 'dengan', 'pengalaman', 'komputer']","['acara', 'keren', 'sekali', 'usulan', 'membahas', 'suatu', 'relevan', 'pengalaman', 'komputer']",acara keren sekali usulan membahas suatu relevan pengalaman komputer,7,Manfaat dan Evaluasi,Positif,,,,,,,
"ada sedikit hal yang perlu diperbaiki yaitu pengadaan room zoom yang dapat menampung lebih dari 500 orang, agar semua orang dapat bergabung di room zoom yang sama dan tidak perlu mengakses youtube sehingga webinar nya kebih terasa seperti perbincangan langsung apalagi di yt juga videonya sering loading dan ketika mengajukan pertanyaan lebih enak secara langsung tanpa perantaraan komentar di yt.		",ada sedikit hal yang perlu diperbaiki yaitu pengadaan room zoom yang dapat menampung lebih dari orang agar semua orang dapat bergabung di room zoom yang sama dan tidak perlu mengakses youtube sehingga webinar nya kebih terasa seperti perbincangan langsung apalagi di yt juga videonya sering loading dan ketika mengajukan pertanyaan lebih enak secara langsung tanpa perantaraan komentar di yt,ada sedikit hal yang perlu diperbaiki yaitu pengadaan room zoom yang dapat menampung lebih dari orang agar semua orang dapat bergabung di room zoom yang sama dan tidak perlu mengakses youtube sehingga webinar nya kebih terasa seperti perbincangan langsung apalagi di yt juga videonya sering loading dan ketika mengajukan pertanyaan lebih enak secara langsung tanpa perantaraan komentar di yt,"['ada', 'sedikit', 'hal', 'yang', 'perlu', 'diperbaiki', 'yaitu', 'pengadaan', 'room', 'zoom', 'yang', 'dapat', 'menampung', 'lebih', 'dari', 'orang', 'agar', 'semua', 'orang', 'dapat', 'bergabung', 'di', 'room', 'zoom', 'yang', 'sama', 'dan', 'tidak', 'perlu', 'mengakses', 'youtube', 'sehingga', 'webinar', 'nya', 'kebih', 'terasa', 'seperti', 'perbincangan', 'langsung', 'apalagi', 'di', 'yt', 'juga', 'videonya', 'sering', 'loading', 'dan', 'ketika', 'mengajukan', 'pertanyaan', 'lebih', 'enak', 'secara', 'langsung', 'tanpa', 'perantaraan', 'komentar', 'di', 'yt']","['ada', 'sedikit', 'hal', 'yang', 'perlu', 'perbaiki', 'yaitu', 'pengadaan', 'ruang', 'zoom', 'yang', 'dapat', 'menampung', 'lebih', 'dari', 'narasumber', 'agar', 'semua', 'narasumber', 'dapat', 'gabung', 'di', 'ruang', 'zoom', 'yang', 'sama', 'dan', 'tidak', 'perlu', 'mengakses', 'youtube', 'sehingga', 'seminar', 'nya', 'lebih', 'terasa', 'seperti', 'interaksi', 'langsung', 'apalagi', 'di', 'youtube', 'juga', 'konten', 'sering', 'memuat', 'dan', 'ketika', 'ajukan', 'pertanyaan', 'lebih', 'enak', 'secara', 'langsung', 'tanpa', 'perantara', 'umpan balik', 'di', 'youtube']","['sedikit', 'perlu', 'perbaiki', 'pengadaan', 'ruang', 'zoom', 'menampung', 'narasumber', 'narasumber', 'gabung', 'ruang', 'zoom', 'sama', 'perlu', 'mengakses', 'youtube', 'seminar', 'terasa', 'interaksi', 'langsung', 'youtube', 'konten', 'sering', 'memuat', 'ajukan', 'pertanyaan', 'enak', 'langsung', 'perantara', 'umpan balik', 'youtube']",sedikit perlu perbaiki pengadaan ruang zoom menampung narasumber narasumber gabung ruang zoom sama perlu mengakses youtube seminar terasa interaksi langsung youtube konten sering memuat ajukan pertanyaan enak langsung perantara umpan balik youtube,5,Teknis dan Jaringan,Negatif,,,,,,,
"acara webinar nya sudah berlangsung dengan sangat baik.		",acara webinar nya sudah berlangsung dengan sangat baik,acara webinar nya sudah berlangsung dengan sangat baik,"['acara', 'webinar', 'nya', 'sudah', 'berlangsung', 'dengan', 'sangat', 'baik']","['acara', 'seminar', 'nya', 'sudah', 'dilaksanakan', 'dengan', 'sangat', 'baik']","['acara', 'seminar', 'dilaksanakan', 'baik']",acara seminar dilaksanakan baik,1,Kesuksesan Acara,Positif,,,,,,,
"Semoga acara lainnya dapat berjalan dengan lancar dan baik		",Semoga acara lainnya dapat berjalan dengan lancar dan baik,semoga acara lainnya dapat berjalan dengan lancar dan baik,"['semoga', 'acara', 'lainnya', 'dapat', 'berjalan', 'dengan', 'lancar', 'dan', 'baik']","['semoga', 'acara', 'lain', 'dapat', 'terlaksana', 'dengan', 'sukses', 'dan', 'baik']","['semoga', 'acara', 'terlaksana', 'sukses', 'baik']",semoga acara terlaksana sukses baik,3,Harapan Acara,Positif,,,,,,,
"Terimakasih untuk para panitia		",Terimakasih untuk para panitia,terimakasih untuk para panitia,"['terimakasih', 'untuk', 'para', 'panitia']","['terima kasih', 'untuk', 'para', 'penyelenggara']","['terima kasih', 'penyelenggara']",terima kasih penyelenggara,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Pembicara juga sangat kompeten dan relevan dengan topik atau tema yang dibahas		",Pembicara juga sangat kompeten dan relevan dengan topik atau tema yang dibahas,pembicara juga sangat kompeten dan relevan dengan topik atau tema yang dibahas,"['pembicara', 'juga', 'sangat', 'kompeten', 'dan', 'relevan', 'dengan', 'topik', 'atau', 'tema', 'yang', 'dibahas']","['narasumber', 'juga', 'sangat', 'kompeten', 'dan', 'relevan', 'dengan', 'tema', 'atau', 'tema', 'yang', 'dibahas']","['narasumber', 'kompeten', 'relevan', 'tema', 'tema', 'dibahas']",narasumber kompeten relevan tema tema dibahas,2,Materi dan Narasumber,Positif,,,,,,,
"Sudah baik, saran waktu webinar lebih baik dilaksanakan pagi hari		",Sudah baik saran waktu webinar lebih baik dilaksanakan pagi hari,sudah baik saran waktu webinar lebih baik dilaksanakan pagi hari,"['sudah', 'baik', 'saran', 'waktu', 'webinar', 'lebih', 'baik', 'dilaksanakan', 'pagi', 'hari']","['sudah', 'baik', 'usulan', 'waktu', 'seminar', 'lebih', 'baik', 'berlangsung', 'waktu', 'hari']","['baik', 'usulan', 'waktu', 'seminar', 'baik', 'berlangsung', 'waktu', 'hari']",baik usulan waktu seminar baik berlangsung waktu hari,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"kurang icebreaking		",kurang icebreaking,kurang icebreaking,"['kurang', 'icebreaking']","['kurang', 'permainan']",['permainan'],permainan,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Acara sudah terlaksana dengan amat baik.		",Acara sudah terlaksana dengan amat baik,acara sudah terlaksana dengan amat baik,"['acara', 'sudah', 'terlaksana', 'dengan', 'amat', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'amat', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Keren!!! Pembicaranya juga bagus-bagus sangat bermanfaat		",Keren Pembicaranya juga bagusbagus sangat bermanfaat,keren pembicaranya juga bagusbagus sangat bermanfaat,"['keren', 'pembicaranya', 'juga', 'bagusbagus', 'sangat', 'bermanfaat']","['keren', 'narasumber', 'juga', 'keren', 'sangat', 'bermanfaat']","['keren', 'narasumber', 'keren', 'bermanfaat']",keren narasumber keren bermanfaat,1,Kesuksesan Acara,Positif,,,,,,,
"lebih tepat waktu dan interaktif agar tidak cepat bosan audiencenya		",lebih tepat waktu dan interaktif agar tidak cepat bosan audiencenya,lebih tepat waktu dan interaktif agar tidak cepat bosan audiencenya,"['lebih', 'tepat', 'waktu', 'dan', 'interaktif', 'agar', 'tidak', 'cepat', 'bosan', 'audiencenya']","['lebih', 'tepat', 'waktu', 'dan', 'interaksi', 'agar', 'tidak', 'cepat', 'bosan', 'peserta']","['tepat', 'waktu', 'interaksi', 'cepat', 'bosan', 'peserta']",tepat waktu interaksi cepat bosan peserta,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Sudah bagus dan menarik, semoga lebih baik lagi untuk selanjutnya		",Sudah bagus dan menarik semoga lebih baik lagi untuk selanjutnya,sudah bagus dan menarik semoga lebih baik lagi untuk selanjutnya,"['sudah', 'bagus', 'dan', 'menarik', 'semoga', 'lebih', 'baik', 'lagi', 'untuk', 'selanjutnya']","['sudah', 'keren', 'dan', 'seru', 'semoga', 'lebih', 'baik', 'lagi', 'untuk', 'lanjut']","['keren', 'seru', 'semoga', 'baik', 'lanjut']",keren seru semoga baik lanjut,1,Kesuksesan Acara,Positif,,,,,,,
"Acara belajar dengan lancar dan bermanfaat		",Acara belajar dengan lancar dan bermanfaat,acara belajar dengan lancar dan bermanfaat,"['acara', 'belajar', 'dengan', 'lancar', 'dan', 'bermanfaat']","['acara', 'belajar', 'dengan', 'sukses', 'dan', 'bermanfaat']","['acara', 'belajar', 'sukses', 'bermanfaat']",acara belajar sukses bermanfaat,1,Kesuksesan Acara,Positif,,,,,,,
"Kegiatan ini sangat bermanfaat,dan webinar ini sangat menarik dan saran saya adalah sering sering adakan lomba agar mahasiswa maupun masyarakat/umum dapat ilmu baru		",Kegiatan ini sangat bermanfaat dan webinar ini sangat menarik dan saran saya adalah sering sering adakan lomba agar mahasiswa maupun masyarakat umum dapat ilmu baru,kegiatan ini sangat bermanfaat dan webinar ini sangat menarik dan saran saya adalah sering sering adakan lomba agar mahasiswa maupun masyarakat umum dapat ilmu baru,"['kegiatan', 'ini', 'sangat', 'bermanfaat', 'dan', 'webinar', 'ini', 'sangat', 'menarik', 'dan', 'saran', 'saya', 'adalah', 'sering', 'sering', 'adakan', 'lomba', 'agar', 'mahasiswa', 'maupun', 'masyarakat', 'umum', 'dapat', 'ilmu', 'baru']","['acara', 'ini', 'sangat', 'bermanfaat', 'dan', 'seminar', 'ini', 'sangat', 'seru', 'dan', 'usulan', 'saya', 'adalah', 'sering', 'sering', 'mengadakan', 'lomba', 'agar', 'mahasiswa', 'maupun', 'masyarakat', 'umum', 'dapat', 'pengalaman', 'inovatif']","['acara', 'bermanfaat', 'seminar', 'seru', 'usulan', 'sering', 'sering', 'mengadakan', 'lomba', 'mahasiswa', 'maupun', 'masyarakat', 'umum', 'pengalaman', 'inovatif']",acara bermanfaat seminar seru usulan sering sering mengadakan lomba mahasiswa maupun masyarakat umum pengalaman inovatif,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Udah baguss dan keren, seneng bisa ikut kegiatan ini		",Udah baguss dan keren seneng bisa ikut kegiatan ini,udah baguss dan keren seneng bisa ikut kegiatan ini,"['udah', 'baguss', 'dan', 'keren', 'seneng', 'bisa', 'ikut', 'kegiatan', 'ini']","['sudah', 'keren', 'dan', 'keren', 'senang', 'bisa', 'ikut', 'acara', 'ini']","['keren', 'keren', 'senang', 'ikut', 'acara']",keren keren senang ikut acara,4,Antusiasme Peserta,Positif,,,,,,,
"Acaranya sangat bermanfaat bagi mahasiswa upn		",Acaranya sangat bermanfaat bagi mahasiswa upn,acaranya sangat bermanfaat bagi mahasiswa upn,"['acaranya', 'sangat', 'bermanfaat', 'bagi', 'mahasiswa', 'upn']","['acara', 'sangat', 'bermanfaat', 'bagi', 'mahasiswa', 'upn']","['acara', 'bermanfaat', 'mahasiswa', 'upn']",acara bermanfaat mahasiswa upn,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Semoga sukses selalu dan menjadi lebih baik lagi kedepannya		",Semoga sukses selalu dan menjadi lebih baik lagi kedepannya,semoga sukses selalu dan menjadi lebih baik lagi kedepannya,"['semoga', 'sukses', 'selalu', 'dan', 'menjadi', 'lebih', 'baik', 'lagi', 'kedepannya']","['semoga', 'sukses', 'selalu', 'dan', 'menjadi', 'lebih', 'baik', 'lagi', 'ke depannya']","['semoga', 'sukses', 'selalu', 'menjadi', 'baik', 'ke depannya']",semoga sukses selalu menjadi baik ke depannya,3,Harapan Acara,Positif,,,,,,,
"Acara sudah berjalan dengan baik dan bagus		",Acara sudah berjalan dengan baik dan bagus,acara sudah berjalan dengan baik dan bagus,"['acara', 'sudah', 'berjalan', 'dengan', 'baik', 'dan', 'bagus']","['acara', 'sudah', 'terlaksana', 'dengan', 'baik', 'dan', 'keren']","['acara', 'terlaksana', 'baik', 'keren']",acara terlaksana baik keren,1,Kesuksesan Acara,Positif,,,,,,,
"Rangkaian acara dibuat lebih variatif.		",Rangkaian acara dibuat lebih variatif,rangkaian acara dibuat lebih variatif,"['rangkaian', 'acara', 'dibuat', 'lebih', 'variatif']","['rangkaian', 'acara', 'dibuat', 'lebih', 'variatif']","['rangkaian', 'acara', 'dibuat', 'variatif']",rangkaian acara dibuat variatif,3,Harapan Acara,Negatif,,,,,,,
"saran saya adalah semoga kegiatan webinar FKBMIK lebih baik lagi kedepannya		",saran saya adalah semoga kegiatan webinar FKBMIK lebih baik lagi kedepannya,saran saya adalah semoga kegiatan webinar fkbmik lebih baik lagi kedepannya,"['saran', 'saya', 'adalah', 'semoga', 'kegiatan', 'webinar', 'fkbmik', 'lebih', 'baik', 'lagi', 'kedepannya']","['usulan', 'saya', 'adalah', 'semoga', 'acara', 'seminar', 'fkbmik', 'lebih', 'baik', 'lagi', 'ke depannya']","['usulan', 'semoga', 'acara', 'seminar', 'fkbmik', 'baik', 'ke depannya']",usulan semoga acara seminar fkbmik baik ke depannya,3,Harapan Acara,Positif,,,,,,,
"tidak ada, acara berlangsung dengan baik dan lancar		",tidak ada acara berlangsung dengan baik dan lancar,tidak ada acara berlangsung dengan baik dan lancar,"['tidak', 'ada', 'acara', 'berlangsung', 'dengan', 'baik', 'dan', 'lancar']","['tidak', 'ada', 'acara', 'dilaksanakan', 'dengan', 'baik', 'dan', 'sukses']","['acara', 'dilaksanakan', 'baik', 'sukses']",acara dilaksanakan baik sukses,1,Kesuksesan Acara,Positif,,,,,,,
"Semoga untuk acara FKBMIK kedepannya lebih bagus lagi		",Semoga untuk acara FKBMIK kedepannya lebih bagus lagi,semoga untuk acara fkbmik kedepannya lebih bagus lagi,"['semoga', 'untuk', 'acara', 'fkbmik', 'kedepannya', 'lebih', 'bagus', 'lagi']","['semoga', 'untuk', 'acara', 'fkbmik', 'ke depannya', 'lebih', 'keren', 'lagi']","['semoga', 'acara', 'fkbmik', 'ke depannya', 'keren']",semoga acara fkbmik ke depannya keren,3,Harapan Acara,Negatif,,,,,,,
"acaranya bagus, lancar semoga kedepannya lebih baik lagi		",acaranya bagus lancar semoga kedepannya lebih baik lagi,acaranya bagus lancar semoga kedepannya lebih baik lagi,"['acaranya', 'bagus', 'lancar', 'semoga', 'kedepannya', 'lebih', 'baik', 'lagi']","['acara', 'keren', 'sukses', 'semoga', 'ke depannya', 'lebih', 'baik', 'lagi']","['acara', 'keren', 'sukses', 'semoga', 'ke depannya', 'baik']",acara keren sukses semoga ke depannya baik,1,Kesuksesan Acara,Positif,,,,,,,
"Acara yang Sangat bermanfaat		",Acara yang Sangat bermanfaat,acara yang sangat bermanfaat,"['acara', 'yang', 'sangat', 'bermanfaat']","['acara', 'yang', 'sangat', 'bermanfaat']","['acara', 'bermanfaat']",acara bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Semoga acara bisa lebih meriah		",Semoga acara bisa lebih meriah,semoga acara bisa lebih meriah,"['semoga', 'acara', 'bisa', 'lebih', 'meriah']","['semoga', 'acara', 'bisa', 'lebih', 'meriah']","['semoga', 'acara', 'meriah']",semoga acara meriah,3,Harapan Acara,Positif,,,,,,,
"semoga offline tahun depan ye		",semoga offline tahun depan ye,semoga offline tahun depan ye,"['semoga', 'offline', 'tahun', 'depan', 'ye']","['semoga', 'luring', 'waktu', 'depan', 'iya']","['semoga', 'luring', 'waktu', 'depan']",semoga luring waktu depan,3,Harapan Acara,Positif,,,,,,,
"Webinar nya menarik dan bermanfaat		",Webinar nya menarik dan bermanfaat,webinar nya menarik dan bermanfaat,"['webinar', 'nya', 'menarik', 'dan', 'bermanfaat']","['seminar', 'nya', 'seru', 'dan', 'bermanfaat']","['seminar', 'seru', 'bermanfaat']",seminar seru bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"tidak ada, tapi adanya pujian yaitu narasumbernya informatif dan jelas		",tidak ada tapi adanya pujian yaitu narasumbernya informatif dan jelas,tidak ada tapi adanya pujian yaitu narasumbernya informatif dan jelas,"['tidak', 'ada', 'tapi', 'adanya', 'pujian', 'yaitu', 'narasumbernya', 'informatif', 'dan', 'jelas']","['tidak', 'ada', 'tetapi', 'ada', 'pujian', 'yaitu', 'narasumber', 'informatif', 'dan', 'jelas']","['pujian', 'narasumber', 'informatif', 'jelas']",pujian narasumber informatif jelas,2,Materi dan Narasumber,Positif,,,,,,,
"Saran saya, untuk kegiatan selanjutnya pemateri lebih banyak dan variatif		",Saran saya untuk kegiatan selanjutnya pemateri lebih banyak dan variatif,saran saya untuk kegiatan selanjutnya pemateri lebih banyak dan variatif,"['saran', 'saya', 'untuk', 'kegiatan', 'selanjutnya', 'pemateri', 'lebih', 'banyak', 'dan', 'variatif']","['usulan', 'saya', 'untuk', 'acara', 'lanjut', 'narasumber', 'lebih', 'banyak', 'dan', 'variatif']","['usulan', 'acara', 'lanjut', 'narasumber', 'banyak', 'variatif']",usulan acara lanjut narasumber banyak variatif,2,Materi dan Narasumber,Negatif,,,,,,,
"Kegiatannya seru dan bermanfaat		",Kegiatannya seru dan bermanfaat,kegiatannya seru dan bermanfaat,"['kegiatannya', 'seru', 'dan', 'bermanfaat']","['acara', 'seru', 'dan', 'bermanfaat']","['acara', 'seru', 'bermanfaat']",acara seru bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Sudah bagus dan terlaksana dengan baik		",Sudah bagus dan terlaksana dengan baik,sudah bagus dan terlaksana dengan baik,"['sudah', 'bagus', 'dan', 'terlaksana', 'dengan', 'baik']","['sudah', 'keren', 'dan', 'terlaksana', 'dengan', 'baik']","['keren', 'terlaksana', 'baik']",keren terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Pertahankan kerja keras hari ini		",Pertahankan kerja keras hari ini,pertahankan kerja keras hari ini,"['pertahankan', 'kerja', 'keras', 'hari', 'ini']","['pertahankan', 'kerja', 'keras', 'hari', 'ini']","['pertahankan', 'kerja', 'keras', 'hari']",pertahankan kerja keras hari,4,Antusiasme Peserta,Positif,,,,,,,
"Acara sudah berjalan cukup baik		",Acara sudah berjalan cukup baik,acara sudah berjalan cukup baik,"['acara', 'sudah', 'berjalan', 'cukup', 'baik']","['acara', 'sudah', 'terlaksana', 'cukup', 'baik']","['acara', 'terlaksana', 'cukup', 'baik']",acara terlaksana cukup baik,1,Kesuksesan Acara,Positif,,,,,,,
"acara menghadirkan pembicara yang inovativ		",acara menghadirkan pembicara yang inovativ,acara menghadirkan pembicara yang inovativ,"['acara', 'menghadirkan', 'pembicara', 'yang', 'inovativ']","['acara', 'undang', 'narasumber', 'yang', 'inovatif']","['acara', 'undang', 'narasumber', 'inovatif']",acara undang narasumber inovatif,2,Materi dan Narasumber,Positif,,,,,,,
"Menurut saya acara kali ini sudah sangat bagus, informasi yang diberikan juga sangat cocok dengan kebutuhan mahasiswa saat ini		",Menurut saya acara kali ini sudah sangat bagus informasi yang diberikan juga sangat cocok dengan kebutuhan mahasiswa saat ini,menurut saya acara kali ini sudah sangat bagus informasi yang diberikan juga sangat cocok dengan kebutuhan mahasiswa saat ini,"['menurut', 'saya', 'acara', 'kali', 'ini', 'sudah', 'sangat', 'bagus', 'informasi', 'yang', 'diberikan', 'juga', 'sangat', 'cocok', 'dengan', 'kebutuhan', 'mahasiswa', 'saat', 'ini']","['menurut', 'saya', 'acara', 'kali', 'ini', 'sudah', 'sangat', 'keren', 'penyampaian', 'yang', 'diberikan', 'juga', 'sangat', 'cocok', 'dengan', 'kebutuhan', 'mahasiswa', 'saat', 'ini']","['acara', 'kali', 'keren', 'penyampaian', 'diberikan', 'cocok', 'kebutuhan', 'mahasiswa']",acara kali keren penyampaian diberikan cocok kebutuhan mahasiswa,2,Materi dan Narasumber,Positif,,,,,,,
"Kegiatannya sangat menarik dan bermanfaat		",Kegiatannya sangat menarik dan bermanfaat,kegiatannya sangat menarik dan bermanfaat,"['kegiatannya', 'sangat', 'menarik', 'dan', 'bermanfaat']","['acara', 'sangat', 'seru', 'dan', 'bermanfaat']","['acara', 'seru', 'bermanfaat']",acara seru bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Tidak ada kritik dan saran pelaksanaan kegiatan nya sudah baik dengan menghadirkan narasumber yang luar biasa		",Tidak ada kritik dan saran pelaksanaan kegiatan nya sudah baik dengan menghadirkan narasumber yang luar biasa,tidak ada kritik dan saran pelaksanaan kegiatan nya sudah baik dengan menghadirkan narasumber yang luar biasa,"['tidak', 'ada', 'kritik', 'dan', 'saran', 'pelaksanaan', 'kegiatan', 'nya', 'sudah', 'baik', 'dengan', 'menghadirkan', 'narasumber', 'yang', 'luar', 'biasa']","['tidak', 'ada', 'kritik', 'dan', 'usulan', 'pelaksanaan', 'acara', 'nya', 'sudah', 'baik', 'dengan', 'undang', 'narasumber', 'yang', 'luar', 'biasa']","['kritik', 'usulan', 'pelaksanaan', 'acara', 'baik', 'undang', 'narasumber', 'luar', 'biasa']",kritik usulan pelaksanaan acara baik undang narasumber luar biasa,2,Materi dan Narasumber,Positif,,,,,,,
"Semoga kedepannya bisa terus lebih baik		",Semoga kedepannya bisa terus lebih baik,semoga kedepannya bisa terus lebih baik,"['semoga', 'kedepannya', 'bisa', 'terus', 'lebih', 'baik']","['semoga', 'ke depannya', 'bisa', 'terus', 'lebih', 'baik']","['semoga', 'ke depannya', 'terus', 'baik']",semoga ke depannya terus baik,3,Harapan Acara,Positif,,,,,,,
"Kegiatan webinar sudah terlaksana dengan cukup baik.		",Kegiatan webinar sudah terlaksana dengan cukup baik,kegiatan webinar sudah terlaksana dengan cukup baik,"['kegiatan', 'webinar', 'sudah', 'terlaksana', 'dengan', 'cukup', 'baik']","['acara', 'seminar', 'sudah', 'terlaksana', 'dengan', 'cukup', 'baik']","['acara', 'seminar', 'terlaksana', 'cukup', 'baik']",acara seminar terlaksana cukup baik,1,Kesuksesan Acara,Positif,,,,,,,
"Sangat bermanfaat sekali dan menambah wawasan		",Sangat bermanfaat sekali dan menambah wawasan,sangat bermanfaat sekali dan menambah wawasan,"['sangat', 'bermanfaat', 'sekali', 'dan', 'menambah', 'wawasan']","['sangat', 'bermanfaat', 'sekali', 'dan', 'tambah', 'pengalaman']","['bermanfaat', 'sekali', 'tambah', 'pengalaman']",bermanfaat sekali tambah pengalaman,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Waktu webinarnya tambahin lagi ya		",Waktu webinarnya tambahin lagi ya,waktu webinarnya tambahin lagi ya,"['waktu', 'webinarnya', 'tambahin', 'lagi', 'ya']","['waktu', 'seminar', 'tambah', 'lagi', 'ya']","['waktu', 'seminar', 'tambah']",waktu seminar tambah,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Semoga semakin banyak topik menarik lagi yang diangkat		",Semoga semakin banyak topik menarik lagi yang diangkat,semoga semakin banyak topik menarik lagi yang diangkat,"['semoga', 'semakin', 'banyak', 'topik', 'menarik', 'lagi', 'yang', 'diangkat']","['semoga', 'semakin', 'banyak', 'tema', 'seru', 'lagi', 'yang', 'diangkat']","['semoga', 'semakin', 'banyak', 'tema', 'seru', 'diangkat']",semoga semakin banyak tema seru diangkat,3,Harapan Acara,Positif,,,,,,,
"Mungkin saat pemaparan materi, semua peserta di mute sementara oleh panitia agar lebih kondusif karena kadang ada saja yang bocor... sekian, terimakasih banyak...		",Mungkin saat pemaparan materi semua peserta di mute sementara oleh panitia agar lebih kondusif karena kadang ada saja yang bocor sekian terimakasih banyak,mungkin saat pemaparan materi semua peserta di mute sementara oleh panitia agar lebih kondusif karena kadang ada saja yang bocor sekian terimakasih banyak,"['mungkin', 'saat', 'pemaparan', 'materi', 'semua', 'peserta', 'di', 'mute', 'sementara', 'oleh', 'panitia', 'agar', 'lebih', 'kondusif', 'karena', 'kadang', 'ada', 'saja', 'yang', 'bocor', 'sekian', 'terimakasih', 'banyak']","['mungkin', 'saat', 'pemaparan', 'materi', 'semua', 'peserta', 'di', 'diam', 'sementara', 'oleh', 'penyelenggara', 'agar', 'lebih', 'kondusif', 'karena', 'terkadang', 'ada', 'saja', 'yang', 'bocor', 'sekian', 'terima kasih', 'banyak']","['mungkin', 'pemaparan', 'materi', 'peserta', 'diam', 'penyelenggara', 'kondusif', 'terkadang', 'bocor', 'sekian', 'terima kasih', 'banyak']",mungkin pemaparan materi peserta diam penyelenggara kondusif terkadang bocor sekian terima kasih banyak,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Belum ada kritik, kegiatan berjalan dengan baik		",Belum ada kritik kegiatan berjalan dengan baik,belum ada kritik kegiatan berjalan dengan baik,"['belum', 'ada', 'kritik', 'kegiatan', 'berjalan', 'dengan', 'baik']","['belum', 'ada', 'kritik', 'acara', 'terlaksana', 'dengan', 'baik']","['kritik', 'acara', 'terlaksana', 'baik']",kritik acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"materi yang disampaikan sangat bagus, sangat memberi kami para mahasiswa wawasan untuk kedepannya		",materi yang disampaikan sangat bagus sangat memberi kami para mahasiswa wawasan untuk kedepannya,materi yang disampaikan sangat bagus sangat memberi kami para mahasiswa wawasan untuk kedepannya,"['materi', 'yang', 'disampaikan', 'sangat', 'bagus', 'sangat', 'memberi', 'kami', 'para', 'mahasiswa', 'wawasan', 'untuk', 'kedepannya']","['materi', 'yang', 'disampaikan', 'sangat', 'keren', 'sangat', 'memberi', 'kami', 'para', 'mahasiswa', 'pengalaman', 'untuk', 'ke depannya']","['materi', 'disampaikan', 'keren', 'memberi', 'mahasiswa', 'pengalaman', 'ke depannya']",materi disampaikan keren memberi mahasiswa pengalaman ke depannya,2,Materi dan Narasumber,Positif,,,,,,,
